name,knn,lr,nn
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
ctgan,0.5529953917050692,0.3824884792626728,0.6820276379585266
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
ydata,0.5345622119815668,0.4423963133640553,0.7695852518081665
dpctgan,0.8387096774193549,0.8433179723502304,0.861751139163971
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
ydata,0.6589861751152074,0.7880184331797235,0.8571428656578064
dpctgan,0.8387096774193549,0.8433179723502304,0.861751139163971
benchmark,0.847926267281106,0.8294930875576036,0.861751139163971
