name,knn,lr,nn
benchmark,0.717391304347826,0.6847826086956522,0.70652174949646
dpctgan,0.4782608695652174,0.40217391304347827,0.54347825050354
benchmark,0.717391304347826,0.6847826086956522,0.695652186870575
dpctgan,0.4782608695652174,0.40217391304347827,0.28260868787765503
ydata,0.6956521739130435,0.6847826086956522,0.70652174949646
dpctgan,0.5652173913043478,0.5978260869565217,0.70652174949646
ctgan,0.5760869565217391,0.5869565217391305,0.554347813129425
ydata,0.6956521739130435,0.6847826086956522,0.70652174949646
dpctgan,0.5652173913043478,0.5978260869565217,0.6521739363670349
ctgan,0.5760869565217391,0.5869565217391305,0.5
ydata,0.6956521739130435,0.6847826086956522,0.70652174949646
dpctgan,0.5652173913043478,0.5978260869565217,0.54347825050354
ctgan,0.5760869565217391,0.5869565217391305,0.42391303181648254
ydata,0.6956521739130435,0.6847826086956522,0.70652174949646
dpctgan,0.5652173913043478,0.5978260869565217,0.6739130616188049
ctgan,0.5760869565217391,0.5869565217391305,0.695652186870575
ydata,0.6956521739130435,0.6847826086956522,0.54347825050354
dpctgan,0.5652173913043478,0.5978260869565217,0.70652174949646
ctgan,0.5760869565217391,0.5869565217391305,0.554347813129425
ydata,0.6956521739130435,0.6847826086956522,0.6630434989929199
dpctgan,0.5652173913043478,0.5978260869565217,0.695652186870575
ctgan,0.5760869565217391,0.5869565217391305,0.6304348111152649
synthcity,0.6847826086956522,0.6739130434782609,0.6739130616188049
benchmark,0.717391304347826,0.6847826086956522,0.695652186870575
benchmark,0.717391304347826,0.6847826086956522,0.72826087474823
ctgan,0.44565217391304346,0.40217391304347827,0.3913043439388275
benchmark,0.717391304347826,0.6847826086956522,0.70652174949646
benchmark,0.717391304347826,0.6847826086956522,0.717391312122345
ydata,0.44565217391304346,0.4782608695652174,0.29347825050354004
dpctgan,0.532608695652174,0.358695652173913,0.42391303181648254
benchmark,0.717391304347826,0.6847826086956522,0.6739130616188049
ydata,0.4673913043478261,0.45652173913043476,0.32608696818351746
dpctgan,0.532608695652174,0.358695652173913,0.29347825050354004
benchmark,0.717391304347826,0.6847826086956522,0.70652174949646
